,symbol,tradeDate,basicPrice,price,volume,totalVolume,totalValue
0,VNM,2024-09-13T14:45:11,74.7,72.9,915.5,5347.1,393198.0
1,VNM,2024-09-13T14:29:50,74.7,73.5,0.1,4431.6,326458.0
2,VNM,2024-09-13T14:29:43,74.7,73.7,0.5,4431.5,326451.0
3,VNM,2024-09-13T14:29:40,74.7,73.5,0.2,4428.5,326230.0
4,VNM,2024-09-13T14:29:27,74.7,73.6,0.4,4428.3,326215.0
5,VNM,2024-09-13T14:29:25,74.7,73.6,0.7,4427.9,326186.0
6,VNM,2024-09-13T14:29:22,74.7,73.6,0.2,4424.9,325965.0
7,VNM,2024-09-13T14:29:11,74.7,73.5,0.1,4421.7,325730.0
8,VNM,2024-09-13T14:29:07,74.7,73.5,0.6,4421.6,325722.0
9,VNM,2024-09-13T14:29:04,74.7,73.5,0.1,4420.3,325627.0
10,VNM,2024-09-13T14:28:54,74.7,73.5,0.4,4420.2,325619.0
11,VNM,2024-09-13T14:28:53,74.7,73.5,1.3,4419.8,325590.0
12,VNM,2024-09-13T14:28:36,74.7,73.5,4.7,4418.2,325472.0
13,VNM,2024-09-13T14:28:33,74.7,73.5,1.4,4399.2,324076.0
14,VNM,2024-09-13T14:28:31,74.7,73.4,0.1,4397.8,323973.0
15,VNM,2024-09-13T14:28:25,74.7,73.4,0.9,4392.7,323599.0
16,VNM,2024-09-13T14:28:22,74.7,73.4,0.3,4387.7,323232.0
17,VNM,2024-09-13T14:28:13,74.7,73.4,0.4,4385.7,323085.0
18,VNM,2024-09-13T14:28:11,74.7,73.5,1.5,4383.7,322938.0
19,VNM,2024-09-13T14:28:09,74.7,73.4,0.2,4382.2,322828.0
20,VNM,2024-09-13T14:28:06,74.7,73.4,0.1,4382.0,322813.0
21,VNM,2024-09-13T14:28:00,74.7,73.4,0.5,4381.9,322806.0
22,VNM,2024-09-13T14:27:49,74.7,73.4,0.1,4379.9,322659.0
23,VNM,2024-09-13T14:27:39,74.7,73.4,0.5,4379.8,322652.0
24,VNM,2024-09-13T14:27:36,74.7,73.4,0.1,4377.7,322497.0
25,VNM,2024-09-13T14:27:28,74.7,73.4,0.5,4377.1,322453.0
26,VNM,2024-09-13T14:27:27,74.7,73.4,0.8,4376.6,322417.0
27,VNM,2024-09-13T14:27:24,74.7,73.4,0.1,4374.6,322270.0
28,VNM,2024-09-13T14:27:14,74.7,73.4,0.3,4371.6,322050.0
29,VNM,2024-09-13T14:27:08,74.7,73.4,0.1,4366.3,321661.0
30,VNM,2024-09-13T14:27:02,74.7,73.4,0.6,4365.3,321587.0
31,VNM,2024-09-13T14:26:57,74.7,73.4,0.2,4364.7,321543.0
32,VNM,2024-09-13T14:26:49,74.7,73.4,0.1,4364.5,321529.0
33,VNM,2024-09-13T14:26:47,74.7,73.4,0.4,4361.2,321286.0
34,VNM,2024-09-13T14:26:44,74.7,73.4,0.3,4360.8,321257.0
35,VNM,2024-09-13T14:26:38,74.7,73.4,0.4,4360.1,321206.0
36,VNM,2024-09-13T14:26:37,74.7,73.3,0.5,4359.7,321176.0
37,VNM,2024-09-13T14:26:34,74.7,73.4,0.3,4359.2,321140.0
38,VNM,2024-09-13T14:26:27,74.7,73.3,0.4,4357.8,321037.0
39,VNM,2024-09-13T14:26:25,74.7,73.4,0.1,4356.9,320971.0
40,VNM,2024-09-13T14:26:22,74.7,73.4,0.3,4356.8,320964.0
41,VNM,2024-09-13T14:26:17,74.7,73.4,0.4,4356.1,320912.0
42,VNM,2024-09-13T14:26:16,74.7,73.4,0.1,4355.7,320883.0
43,VNM,2024-09-13T14:26:13,74.7,73.4,0.3,4353.7,320736.0
44,VNM,2024-09-13T14:26:08,74.7,73.4,0.4,4353.0,320685.0
45,VNM,2024-09-13T14:26:04,74.7,73.4,0.3,4352.6,320655.0
46,VNM,2024-09-13T14:25:59,74.7,73.4,0.4,4351.9,320604.0
47,VNM,2024-09-13T14:25:55,74.7,73.4,0.3,4350.3,320486.0
48,VNM,2024-09-13T14:25:53,74.7,73.4,0.4,4350.0,320464.0
