date,open,close,high,low,volume
2024-10-15,67.2,66.8,67.4,66.7,3073300
2024-10-14,68.1,67.2,68.1,67.1,3220500
2024-10-11,68.1,67.7,68.2,67.5,2690038
2024-10-10,68.3,67.7,68.8,67.7,2822615
2024-10-09,68.3,67.8,68.6,67.8,3527960
2024-10-08,67.2,68.2,68.2,67.2,3182649
2024-10-07,68.7,67.1,69.3,67.1,6381300
2024-10-04,70.5,68.5,70.5,68.4,6751000
2024-10-03,70.2,70.3,70.5,69.9,2948030
2024-10-02,70.2,70.1,70.2,69.6,3279930
2024-10-01,70.2,70.1,70.7,70.1,2040200
2024-09-30,71.0,70.1,71.0,70.1,2043516
2024-09-27,70.8,71.0,71.2,70.7,3168700
2024-09-26,69.6,70.7,71.1,69.6,3984109
2024-09-25,70.3,69.6,70.4,69.6,4847436
2024-09-24,71.0,70.3,71.0,70.1,2199514
2024-09-23,73.1,72.9,73.2,72.6,2977201
2024-09-20,73.5,72.7,74.0,72.7,6555403
2024-09-19,73.3,73.3,73.5,73.0,1572742
2024-09-18,73.6,73.3,73.9,73.0,2845344
2024-09-17,72.0,73.4,73.4,71.7,2390332
2024-09-16,73.0,71.9,73.0,71.9,4034700
2024-09-13,74.8,72.9,74.8,72.9,5347113
2024-09-12,75.0,74.7,75.2,74.4,2052124
2024-09-11,74.8,74.6,75.1,73.9,3165231
2024-09-10,74.8,74.9,75.5,74.3,3332434
2024-09-09,75.1,74.8,75.1,74.2,2638800
2024-09-06,74.9,75.4,75.5,74.8,3641800
2024-09-05,74.3,74.7,75.4,74.1,5857542
2024-09-04,73.3,74.3,74.5,73.1,2839125
2024-08-30,73.6,73.9,74.8,73.4,3675800
2024-08-29,73.7,73.5,74.0,73.4,2042980
2024-08-28,73.6,73.9,74.0,73.2,3352840
2024-08-27,73.4,73.5,73.8,72.6,4265844
2024-08-26,74.9,73.4,75.0,73.3,6324827
2024-08-23,74.9,74.9,75.6,74.4,3307633
2024-08-22,76.0,74.2,76.0,73.6,6025954
2024-08-21,75.2,75.3,76.1,75.1,3991045
2024-08-20,76.0,75.6,76.2,75.3,4177349
2024-08-19,74.0,76.0,76.0,73.8,7917931
2024-08-16,74.0,73.8,74.1,73.2,7392917
2024-08-15,74.0,73.8,74.6,73.7,4255830
2024-08-14,74.0,74.0,74.1,73.3,5456225
2024-08-13,72.8,73.8,74.4,72.7,6834400
2024-08-12,73.3,73.0,74.4,72.8,5804000
2024-08-09,72.8,73.3,73.4,72.5,4527500
2024-08-08,73.9,72.7,74.4,72.2,7611000
2024-08-07,73.2,73.8,73.8,72.4,10700700
2024-08-06,70.3,72.7,73.3,70.0,13950400
2024-08-05,71.0,69.4,71.2,68.5,12245500
2024-08-02,70.0,71.5,71.9,70.0,10290200
2024-08-01,71.8,70.3,71.9,70.1,8955800
2024-07-31,68.5,71.6,72.0,68.5,21564900
2024-07-30,67.3,67.7,68.4,66.9,6465600
2024-07-29,66.2,67.2,67.6,65.9,5781800
2024-07-26,65.4,65.8,66.2,65.4,3250400
2024-07-25,65.6,65.6,65.7,65.3,1957600
2024-07-24,65.8,65.6,66.1,65.6,3913500
2024-07-23,65.6,65.9,66.3,65.5,3777800
2024-07-22,65.3,65.4,66.0,65.2,2654800
2024-07-19,65.9,65.3,65.9,65.1,3392700
2024-07-18,66.0,65.9,66.0,65.5,2283000
2024-07-17,66.2,65.7,66.5,65.6,3464800
2024-07-16,66.4,66.1,66.7,66.1,2243700
2024-07-15,66.3,66.2,66.9,66.2,2155300
2024-07-12,66.4,66.3,66.6,66.1,2189900
2024-07-11,66.9,66.3,67.0,66.3,3787100
2024-07-10,67.5,66.8,67.8,66.8,3991700
2024-07-09,67.6,67.5,67.8,67.2,5045200
2024-07-08,67.3,67.6,67.7,67.0,4942400
2024-07-05,66.4,67.2,67.5,66.4,4285100
2024-07-04,66.3,66.4,66.9,66.3,2688900
2024-07-03,66.2,66.2,66.3,66.0,1437600
2024-07-02,66.0,66.2,66.3,65.8,2042800
2024-07-01,65.8,66.0,66.0,65.3,1909300
2024-06-28,65.5,65.5,66.0,65.3,2821700
2024-06-27,65.2,65.3,65.6,65.1,2755400
