Date,Open,High,Low,Close,Volume
04/06/2018,"16,036 VND","16,444 VND","16,036 VND","16,036 VND","16,871,038"
05/06/2018,"15,520 VND","16,600 VND","15,034 VND","15,034 VND","10,136,998"
06/06/2018,"14,878 VND","15,034 VND","14,251 VND","14,408 VND","11,410,078"
07/06/2018,"14,799 VND","15,410 VND","14,580 VND","15,410 VND","8,859,238"
08/06/2018,"15,817 VND","16,475 VND","15,582 VND","16,475 VND","12,050,998"
11/06/2018,"16,412 VND","17,070 VND","16,162 VND","17,070 VND","7,378,978"
12/06/2018,"16,913 VND","16,913 VND","16,115 VND","16,444 VND","7,101,778"
13/06/2018,"16,444 VND","16,913 VND","16,365 VND","16,506 VND","5,329,978"
14/06/2018,"16,679 VND","16,679 VND","16,209 VND","16,444 VND","4,752,778"
15/06/2018,"16,522 VND","16,522 VND","16,209 VND","16,475 VND","15,353,596"
18/06/2018,"16,303 VND","16,444 VND","15,347 VND","15,661 VND","12,256,840"
19/06/2018,"14,893 VND","15,191 VND","14,564 VND","14,878 VND","25,210,318"
20/06/2018,"14,878 VND","15,113 VND","14,580 VND","14,909 VND","3,461,218"
21/06/2018,"14,940 VND","14,940 VND","14,611 VND","14,909 VND","2,986,738"
22/06/2018,"14,893 VND","14,893 VND","14,658 VND","14,878 VND","1,972,258"
25/06/2018,"15,034 VND","15,191 VND","14,987 VND","15,019 VND","6,596,038"
26/06/2018,"14,784 VND","14,956 VND","14,752 VND","14,878 VND","2,962,738"
27/06/2018,"14,643 VND","14,878 VND","14,643 VND","14,658 VND","2,369,158"
28/06/2018,"14,564 VND","14,643 VND","13,860 VND","14,439 VND","8,449,378"
29/06/2018,"14,251 VND","14,408 VND","13,625 VND","14,361 VND","10,529,998"
02/07/2018,"14,376 VND","14,376 VND","13,625 VND","13,766 VND","4,017,418"
03/07/2018,"13,703 VND","13,828 VND","12,810 VND","12,810 VND","18,459,670"
04/07/2018,"12,607 VND","12,685 VND","11,918 VND","12,685 VND","12,574,600"
05/07/2018,"13,554 VND","13,554 VND","12,685 VND","13,225 VND","3,166,900"
06/07/2018,"13,155 VND","13,625 VND","12,685 VND","13,531 VND","2,321,980"
09/07/2018,"13,625 VND","13,719 VND","13,084 VND","13,390 VND","1,387,800"
10/07/2018,"13,390 VND","13,390 VND","12,920 VND","12,990 VND","1,098,200"
11/07/2018,"12,732 VND","12,732 VND","12,098 VND","12,098 VND","3,229,140"
12/07/2018,"11,792 VND","12,215 VND","11,792 VND","12,215 VND","1,708,160"
13/07/2018,"12,403 VND","12,450 VND","12,215 VND","12,309 VND","857,800"
16/07/2018,"12,215 VND","12,309 VND","12,098 VND","12,309 VND","860,320"
17/07/2018,"12,309 VND","12,920 VND","12,074 VND","12,732 VND","2,349,040"
18/07/2018,"12,920 VND","13,390 VND","12,826 VND","13,131 VND","2,278,680"
19/07/2018,"13,155 VND","13,155 VND","12,920 VND","13,108 VND","1,416,860"
20/07/2018,"12,920 VND","13,108 VND","12,779 VND","13,108 VND","3,036,380"
23/07/2018,"12,826 VND","13,084 VND","12,497 VND","12,497 VND","1,841,380"
24/07/2018,"12,685 VND","12,920 VND","12,356 VND","12,403 VND","2,038,240"
25/07/2018,"12,591 VND","12,615 VND","11,698 VND","12,568 VND","8,476,020"
26/07/2018,"12,215 VND","12,333 VND","11,980 VND","12,121 VND","1,554,860"
27/07/2018,"12,121 VND","12,309 VND","12,027 VND","12,192 VND","6,415,320"
30/07/2018,"12,192 VND","12,309 VND","12,168 VND","12,262 VND","3,098,476"
31/07/2018,"12,286 VND","13,108 VND","12,215 VND","13,061 VND","9,381,320"
01/08/2018,"13,108 VND","13,460 VND","12,756 VND","12,944 VND","4,229,240"
02/08/2018,"12,826 VND","13,390 VND","12,685 VND","13,390 VND","13,364,980"
03/08/2018,"13,437 VND","13,578 VND","13,155 VND","13,319 VND","24,116,280"
06/08/2018,"13,155 VND","13,296 VND","13,061 VND","13,155 VND","2,998,640"
07/08/2018,"13,037 VND","13,249 VND","12,873 VND","13,131 VND","3,440,800"
08/08/2018,"13,225 VND","13,225 VND","12,873 VND","13,037 VND","2,812,900"
09/08/2018,"13,108 VND","13,296 VND","12,873 VND","12,873 VND","4,764,820"
10/08/2018,"12,873 VND","13,014 VND","12,403 VND","12,779 VND","5,587,162"
13/08/2018,"12,685 VND","12,990 VND","12,591 VND","12,897 VND","2,984,600"
14/08/2018,"12,920 VND","12,920 VND","12,685 VND","12,779 VND","2,821,180"
15/08/2018,"12,685 VND","12,779 VND","12,450 VND","12,450 VND","2,269,020"
16/08/2018,"12,450 VND","12,638 VND","12,192 VND","12,450 VND","4,352,680"
17/08/2018,"12,450 VND","12,638 VND","12,450 VND","12,450 VND","5,363,780"
20/08/2018,"12,544 VND","12,544 VND","12,168 VND","12,450 VND","1,850,614"
21/08/2018,"12,450 VND","12,521 VND","12,333 VND","12,450 VND","1,808,540"
22/08/2018,"12,544 VND","12,873 VND","12,474 VND","12,521 VND","2,773,700"
23/08/2018,"12,685 VND","12,756 VND","12,521 VND","12,568 VND","2,330,120"
24/08/2018,"12,568 VND","12,662 VND","12,450 VND","12,497 VND","1,694,020"
27/08/2018,"12,497 VND","12,615 VND","12,450 VND","12,450 VND","3,036,780"
28/08/2018,"12,497 VND","12,591 VND","12,309 VND","12,333 VND","3,401,480"
29/08/2018,"12,333 VND","12,380 VND","12,262 VND","12,286 VND","1,556,480"
30/08/2018,"12,286 VND","12,356 VND","12,239 VND","12,356 VND","2,105,680"
31/08/2018,"12,356 VND","12,615 VND","12,356 VND","12,356 VND","3,561,060"
04/09/2018,"12,356 VND","12,497 VND","12,239 VND","12,262 VND","4,653,220"
05/09/2018,"12,262 VND","12,333 VND","12,098 VND","12,121 VND","18,998,924"
06/09/2018,"12,121 VND","12,168 VND","11,652 VND","11,652 VND","5,866,360"
07/09/2018,"11,745 VND","11,886 VND","11,698 VND","11,863 VND","6,314,600"
10/09/2018,"11,933 VND","11,980 VND","11,745 VND","11,980 VND","3,595,440"
11/09/2018,"11,957 VND","11,980 VND","11,886 VND","11,933 VND","3,360,300"
12/09/2018,"11,980 VND","12,004 VND","11,745 VND","11,745 VND","2,991,980"
13/09/2018,"11,745 VND","11,933 VND","11,745 VND","11,839 VND","5,090,440"
14/09/2018,"11,839 VND","11,933 VND","11,816 VND","11,863 VND","2,886,720"
17/09/2018,"11,863 VND","12,685 VND","11,816 VND","12,239 VND","5,429,260"
18/09/2018,"12,239 VND","12,286 VND","12,004 VND","12,286 VND","2,119,040"
19/09/2018,"12,309 VND","12,709 VND","12,309 VND","12,497 VND","5,935,480"
20/09/2018,"12,497 VND","13,155 VND","12,497 VND","13,155 VND","11,612,760"
21/09/2018,"13,155 VND","13,366 VND","13,061 VND","13,296 VND","8,078,320"
24/09/2018,"13,296 VND","13,366 VND","13,131 VND","13,202 VND","4,427,620"
25/09/2018,"13,155 VND","13,249 VND","13,061 VND","13,155 VND","4,523,680"
26/09/2018,"13,155 VND","13,789 VND","13,061 VND","13,578 VND","9,032,640"
27/09/2018,"13,719 VND","13,930 VND","13,695 VND","13,813 VND","8,386,600"
28/09/2018,"13,860 VND","13,930 VND","13,625 VND","13,695 VND","8,887,300"
01/10/2018,"13,695 VND","13,742 VND","13,437 VND","13,460 VND","6,632,200"
02/10/2018,"13,437 VND","13,813 VND","13,437 VND","13,672 VND","7,279,500"
03/10/2018,"13,813 VND","13,860 VND","13,695 VND","13,789 VND","2,811,660"
04/10/2018,"13,860 VND","14,189 VND","13,789 VND","14,189 VND","8,447,760"
05/10/2018,"14,142 VND","14,212 VND","13,977 VND","14,001 VND","6,313,120"
08/10/2018,"13,672 VND","13,977 VND","13,672 VND","13,789 VND","4,898,460"
09/10/2018,"13,813 VND","13,977 VND","13,695 VND","13,977 VND","5,312,760"
10/10/2018,"14,001 VND","14,142 VND","13,930 VND","13,954 VND","3,378,500"
11/10/2018,"13,249 VND","13,672 VND","13,014 VND","13,084 VND","10,722,540"
12/10/2018,"13,084 VND","13,531 VND","12,826 VND","13,484 VND","5,108,580"
15/10/2018,"13,484 VND","13,507 VND","13,155 VND","13,249 VND","4,171,000"
16/10/2018,"13,225 VND","13,578 VND","13,225 VND","13,484 VND","2,840,100"
17/10/2018,"13,766 VND","13,766 VND","13,601 VND","13,672 VND","4,771,360"
18/10/2018,"13,531 VND","13,672 VND","13,484 VND","13,578 VND","2,975,760"
19/10/2018,"13,343 VND","13,625 VND","13,202 VND","13,625 VND","2,908,000"
22/10/2018,"13,625 VND","13,719 VND","13,531 VND","13,531 VND","4,052,580"
23/10/2018,"13,531 VND","13,531 VND","12,591 VND","13,061 VND","4,615,060"
